attribute,absFrequency,relFrequency
SHIELDS,40,0.0002
HORN,40,0.0002
SAVAGE,40,0.0002
OLSEN,40,0.0002
SCHROEDER,40,0.0002
HARTMAN,40,0.0002
WOODARD,40,0.0002
MUELLER,40,0.0002
KEMP,40,0.0002
DELEON,40,0.0002
BOOTH,40,0.0002
PATEL,40,0.0002
CALHOUN,40,0.0002
WILEY,40,0.0002
EATON,40,0.0002
CLINE,40,0.0002
NAVARRO,40,0.0002
HARRELL,40,0.0002
LESTER,40,0.0002
HUMPHREY,40,0.0002
PARRISH,40,0.0002
DURAN,40,0.0002
HUTCHINSON,40,0.0002
HESS,40,0.0002
DORSEY,40,0.0002
BULLOCK,40,0.0002
ROBLES,40,0.0002
BEARD,38,0.00019
DALTON,38,0.00019
AVILA,38,0.00019
VANCE,38,0.00019
RICH,38,0.00019
BLACKWELL,38,0.00019
YORK,38,0.00019
JOHNS,38,0.00019
BLANKENSHIP,38,0.00019
TREVINO,38,0.00019
SALINAS,38,0.00019
CAMPOS,38,0.00019
PRUITT,38,0.00019
MOSES,38,0.00019
CALLAHAN,38,0.00019
GOLDEN,38,0.00019
MONTOYA,38,0.00019
HARDIN,38,0.00019
GUERRA,38,0.00019
MCDOWELL,38,0.00019
CAREY,38,0.00019
STAFFORD,38,0.00019
GALLEGOS,38,0.00019
HENSON,38,0.00019
WILKINSON,38,0.00019
BOOKER,38,0.00019
MERRITT,38,0.00019
MIRANDA,38,0.00019
ATKINSON,38,0.00019
ORR,38,0.00019
DECKER,38,0.00019
HOBBS,38,0.00019
PRESTON,38,0.00019
TANNER,38,0.00019
KNOX,38,0.00019
PACHECO,38,0.00019
STEPHENSON,36,0.00018
GLASS,36,0.00018
ROJAS,36,0.00018
SERRANO,36,0.00018
MARKS,36,0.00018
HICKMAN,36,0.00018
ENGLISH,36,0.00018
SWEENEY,36,0.00018
STRONG,36,0.00018
PRINCE,36,0.00018
MCCLURE,36,0.00018
CONWAY,36,0.00018
WALTER,36,0.00018
ROTH,36,0.00018
MAYNARD,36,0.00018
FARRELL,36,0.00018
LOWERY,36,0.00018
HURST,36,0.00018
NIXON,36,0.00018
WEISS,36,0.00018
TRUJILLO,36,0.00018
ELLISON,36,0.00018
SLOAN,36,0.00018
JUAREZ,36,0.00018
WINTERS,36,0.00018
MCLEAN,36,0.00018
RANDOLPH,36,0.00018
LEON,36,0.00018
BOYER,36,0.00018
VILLARREAL,36,0.00018
MCCALL,36,0.00018
GENTRY,36,0.00018
CARRILLO,34,0.00017
KENT,34,0.00017
AYERS,34,0.00017
LARA,34,0.00017
SHANNON,34,0.00017
SEXTON,34,0.00017
PACE,34,0.00017
HULL,34,0.00017
LEBLANC,34,0.00017
BROWNING,34,0.00017
VELASQUEZ,34,0.00017
LEACH,34,0.00017
CHANG,34,0.00017
HOUSE,34,0.00017
SELLERS,34,0.00017
HERRING,34,0.00017
NOBLE,34,0.00017
FOLEY,34,0.00017
BARTLETT,34,0.00017
MERCADO,34,0.00017
LANDRY,34,0.00017
DURHAM,34,0.00017
WALLS,34,0.00017
BARR,34,0.00017
MCKEE,34,0.00017
BAUER,34,0.00017
RIVERS,34,0.00017
EVERETT,34,0.00017
BRADSHAW,34,0.00017
PUGH,34,0.00017
VELEZ,34,0.00017
RUSH,34,0.00017
ESTES,34,0.00017
DODSON,34,0.00017
MORSE,34,0.00017
SHEPPARD,34,0.00017
WEEKS,34,0.00017
